Order_Date,Region,Category,Segment,Quantity,Sales,Profit
2022-01-01,West,Food & Beverage,Consumer,3,77.9,14.98
2022-01-01,West,Furniture,Consumer,5,2825.81,663.33
2022-01-01,North,Electronics,Consumer,3,1129.65,148.03
2022-01-01,West,Clothing,Consumer,4,299.23,76.23
2022-01-01,East,Office Supplies,Consumer,2,110.12,39.45
2022-01-01,West,Electronics,Consumer,2,819.34,142.19
2022-01-02,West,Food & Beverage,Consumer,4,114.72,17.42
2022-01-02,South,Office Supplies,Home Office,2,95.81,25.14
2022-01-03,North,Office Supplies,Consumer,7,333.36,87.45
2022-01-03,North,Clothing,Consumer,3,238.44,88.76
2022-01-03,West,Furniture,Consumer,7,4241.55,904.84
2022-01-03,North,Office Supplies,Corporate,6,326.43,89.88
2022-01-03,North,Clothing,Corporate,2,134.65,40.23
2022-01-03,North,Furniture,Consumer,5,2496.42,679.63
2022-01-03,South,Office Supplies,Corporate,6,260.81,77.6
2022-01-03,South,Office Supplies,Consumer,7,319.68,71.32
2022-01-03,West,Office Supplies,Consumer,5,270.87,89.66
2022-01-03,North,Clothing,Consumer,7,572.61,178.53
2022-01-03,North,Electronics,Corporate,1,427.14,93.53
2022-01-03,North,Clothing,Consumer,5,386.67,116.61
2022-01-04,North,Furniture,Home Office,6,3491.32,865.92
2022-01-04,North,Electronics,Consumer,2,782.17,102.9
2022-01-04,North,Electronics,Corporate,6,2094.86,374.69
2022-01-04,West,Food & Beverage,Consumer,3,84.5,14.98
2022-01-05,North,Furniture,Corporate,3,1577.01,262.88
2022-01-05,West,Furniture,Home Office,3,1573.24,265.84
2022-01-05,West,Furniture,Consumer,4,1987.89,563.86
2022-01-05,South,Electronics,Consumer,6,2629.5,587.02
2022-01-05,East,Electronics,Consumer,3,1254.39,279.59
2022-01-05,West,Electronics,Corporate,3,1328.29,280.03
2022-01-05,East,Clothing,Consumer,1,77.02,18.95
2022-01-05,North,Furniture,Consumer,3,1727.32,317.14
2022-01-05,East,Electronics,Consumer,4,1503.6,310.3
2022-01-06,South,Electronics,Corporate,1,356.51,72.74
2022-01-06,North,Clothing,Corporate,1,84.49,29.04
2022-01-06,North,Clothing,Corporate,5,415.12,139.03
2022-01-06,West,Clothing,Home Office,4,276.14,89.99
2022-01-06,West,Clothing,Consumer,1,71.25,30.09
2022-01-06,West,Furniture,Corporate,6,3170.32,594.59
2022-01-06,North,Furniture,Corporate,1,491.63,121.72
2022-01-06,East,Furniture,Home Office,3,1534.29,360.13
2022-01-06,North,Electronics,Corporate,4,1640.13,331.0
2022-01-06,East,Food & Beverage,Home Office,7,206.57,23.44
2022-01-07,East,Electronics,Consumer,6,2219.69,408.43
2022-01-07,South,Office Supplies,Consumer,4,203.82,42.87
2022-01-07,North,Food & Beverage,Consumer,3,95.94,16.34
2022-01-07,West,Food & Beverage,Corporate,3,100.31,12.98
2022-01-08,West,Electronics,Corporate,1,355.3,50.77
2022-01-08,North,Electronics,Corporate,5,2051.22,372.92
2022-01-09,North,Office Supplies,Consumer,5,216.62,53.79
2022-01-09,West,Office Supplies,Consumer,2,106.45,35.29
2022-01-09,South,Office Supplies,Consumer,2,111.95,38.62
2022-01-09,North,Furniture,Corporate,2,1110.26,250.03
2022-01-09,East,Furniture,Consumer,3,1815.18,441.79
2022-01-10,North,Furniture,Consumer,2,1172.95,191.66
2022-01-10,South,Furniture,Corporate,6,3650.42,697.98
